test_anchor_id,scenarios_evaluated,IIRS_TMC2_recall_at_1,OHRC_TMC2_recall_at_1,IIRS_OHRC_recall_at_1,IIRS_TMC2_median_rank,OHRC_TMC2_median_rank,IIRS_OHRC_median_rank,IIRS_TMC2_mean_cosine,OHRC_TMC2_mean_cosine,IIRS_OHRC_mean_cosine,IIRS_TMC2_top1_scenario_count,OHRC_TMC2_top1_scenario_count,IIRS_OHRC_top1_scenario_count,overall_mean_recall_at_1
340,34,0.0,0.0,0.11764705882352941,15.0,22.0,13.5,0.7050121698309394,0.6990901407073525,0.7293606961474699,0,0,4,0.0392156862745098
341,34,0.029411764705882353,0.029411764705882353,0.14705882352941177,23.5,27.0,12.5,0.4750902004101697,0.4829610467833631,0.5486004926702556,1,1,5,0.06862745098039215
342,34,0.029411764705882353,0.029411764705882353,0.14705882352941177,14.0,16.0,11.5,0.7336337982731707,0.7584974616765976,0.7210483270532945,1,1,5,0.06862745098039215
343,34,0.029411764705882353,0.0,0.17647058823529413,19.5,24.0,10.5,0.6995413969544804,0.6824263189645374,0.7302024513483047,1,0,6,0.06862745098039216
344,34,0.0,0.0,0.11764705882352941,19.5,19.5,12.0,0.6221675793914234,0.6220336048042073,0.6090153552153531,0,0,4,0.0392156862745098
345,34,0.0,0.0,0.17647058823529413,21.0,21.0,8.5,0.5902743155465406,0.6023805229102864,0.6444167919895228,0,0,6,0.05882352941176471
346,34,0.029411764705882353,0.058823529411764705,0.14705882352941177,24.0,22.5,11.5,0.6284175602828755,0.5688588693737984,0.5820163856534397,1,2,5,0.0784313725490196
347,34,0.029411764705882353,0.029411764705882353,0.17647058823529413,16.5,20.0,7.0,0.7073195830864065,0.6949531291337574,0.6901162792654598,1,1,6,0.0784313725490196
348,34,0.0,0.0,0.08823529411764706,24.0,20.0,14.5,0.7022243825828328,0.6691727261332905,0.6809215992689133,0,0,3,0.029411764705882356
349,34,0.029411764705882353,0.0,0.20588235294117646,19.0,19.0,11.5,0.6110377158312237,0.6347225474960664,0.6290501252035884,1,0,7,0.0784313725490196
350,34,0.029411764705882353,0.029411764705882353,0.11764705882352941,22.5,21.0,13.0,0.6432601848945898,0.6209243229206871,0.6008162397672149,1,1,4,0.0588235294117647
351,34,0.0,0.0,0.11764705882352941,23.0,13.0,11.0,0.6786427502246464,0.6976221607011908,0.6816924509647138,0,0,4,0.0392156862745098
352,34,0.058823529411764705,0.0,0.11764705882352941,18.5,24.5,13.5,0.525551384424462,0.4472694907556562,0.5322351626613561,2,0,4,0.0588235294117647
353,34,0.029411764705882353,0.0,0.08823529411764706,25.5,24.0,17.0,0.6316165739999098,0.6577748866642222,0.6625908065368148,1,0,3,0.0392156862745098
354,34,0.029411764705882353,0.058823529411764705,0.20588235294117646,22.5,18.0,8.0,0.5997575950973174,0.6328924197484466,0.6204189740888336,1,2,7,0.0980392156862745
355,34,0.029411764705882353,0.029411764705882353,0.14705882352941177,20.5,16.0,10.5,0.6485616025679252,0.7017699423081735,0.6534131618545336,1,1,5,0.06862745098039215
356,34,0.058823529411764705,0.058823529411764705,0.20588235294117646,14.0,18.0,10.5,0.7023383116020876,0.7221319298533833,0.7144260340753723,2,2,7,0.10784313725490195
357,34,0.0,0.0,0.11764705882352941,18.5,21.0,9.5,0.6454273602541756,0.6616973377325955,0.63789482765338,0,0,4,0.0392156862745098
358,34,0.0,0.029411764705882353,0.11764705882352941,19.0,20.0,14.5,0.71574127498795,0.6554450830992531,0.7090195380151272,0,1,4,0.049019607843137254
359,34,0.029411764705882353,0.029411764705882353,0.14705882352941177,17.5,28.0,10.0,0.6579759248039302,0.6475196172866751,0.620560998973601,1,1,5,0.06862745098039215
360,34,0.0,0.0,0.11764705882352941,19.0,16.5,10.5,0.6603250915513319,0.6678502822623533,0.7000798696980757,0,0,4,0.0392156862745098
361,34,0.0,0.0,0.08823529411764706,20.0,16.5,13.0,0.5721945035106996,0.6396035736098009,0.566952228984412,0,0,3,0.029411764705882356
362,34,0.029411764705882353,0.0,0.08823529411764706,16.5,17.5,11.0,0.6827770620584488,0.6964152341379839,0.6849476588780389,1,0,3,0.0392156862745098
363,34,0.029411764705882353,0.029411764705882353,0.17647058823529413,18.5,19.0,13.5,0.6550919772947535,0.5829540653263822,0.576167702455731,1,1,6,0.0784313725490196
364,34,0.0,0.0,0.17647058823529413,20.0,26.5,14.0,0.7112049425349516,0.6748800878139103,0.7009997087366441,0,0,6,0.05882352941176471
365,34,0.0,0.0,0.11764705882352941,17.0,20.0,12.0,0.5843309865278357,0.6261799151406569,0.6041098298395381,0,0,4,0.0392156862745098
366,34,0.029411764705882353,0.029411764705882353,0.2647058823529412,14.5,16.5,8.0,0.6593843076158973,0.6271688920610091,0.6255611183450502,1,1,9,0.10784313725490197
367,34,0.029411764705882353,0.029411764705882353,0.11764705882352941,12.5,18.5,12.5,0.567395872052978,0.625482423340573,0.60914222671486,1,1,4,0.0588235294117647
368,34,0.029411764705882353,0.0,0.20588235294117646,15.0,18.5,9.5,0.6634218876852709,0.6784182261018192,0.6932723517803585,1,0,7,0.0784313725490196
369,34,0.0,0.029411764705882353,0.11764705882352941,22.5,21.5,12.0,0.6889190235558678,0.6757629496209762,0.6994919509572142,0,1,4,0.049019607843137254
370,34,0.058823529411764705,0.058823529411764705,0.11764705882352941,22.5,21.0,12.0,0.6564534604549408,0.6511276934076758,0.667704260962851,2,2,4,0.0784313725490196
371,34,0.029411764705882353,0.058823529411764705,0.11764705882352941,11.0,21.0,14.0,0.7163929807789186,0.7006047183976454,0.7081180648768649,1,2,4,0.06862745098039215
372,34,0.029411764705882353,0.0,0.14705882352941177,22.5,19.0,11.5,0.6349601390607217,0.605354451957871,0.6039908359594205,1,0,5,0.05882352941176471
373,34,0.0,0.029411764705882353,0.14705882352941177,16.5,17.5,9.0,0.7220674214117667,0.72694073091535,0.6735433894483482,0,1,5,0.05882352941176471
374,34,0.0,0.0,0.14705882352941177,21.0,21.5,12.0,0.5922223386519095,0.6417171958395663,0.5609688684344292,0,0,5,0.049019607843137254
375,34,0.0,0.029411764705882353,0.14705882352941177,15.0,20.5,11.0,0.6275014552999946,0.5871176715282833,0.6256969768334838,0,1,5,0.05882352941176471
