anchor_id,scenario_id,modality,PC1,PC2
340,0,IIRS,0.6293613,0.16049904
341,0,IIRS,-0.38603735,0.42372665
342,0,IIRS,0.13902566,-0.78374994
343,0,IIRS,0.18138802,0.73798454
344,0,IIRS,0.42848873,-0.35215232
345,0,IIRS,0.5791295,0.4050531
346,0,IIRS,-0.380828,-0.687578
347,0,IIRS,-0.13584556,0.14389329
348,0,IIRS,-0.6776455,0.19563705
349,0,IIRS,0.025592828,0.5546545
350,0,IIRS,-0.057913475,-0.76765364
351,0,IIRS,0.27797177,0.22190626
352,0,IIRS,-0.041374013,-0.4243522
353,0,IIRS,-0.44190094,0.5429695
354,0,IIRS,-0.037967026,-0.23540974
355,0,IIRS,-0.09538782,-0.32245222
356,0,IIRS,-0.22183315,0.43391934
357,0,IIRS,0.17390433,-0.4203168
358,0,IIRS,0.7852134,-0.14400353
359,0,IIRS,-0.4564771,0.47381175
360,0,IIRS,0.10581506,0.41530102
361,0,IIRS,0.031914536,-0.2848025
362,0,IIRS,-0.60114217,0.5470217
363,0,IIRS,-0.5233023,0.24333033
364,0,IIRS,0.91529894,0.029296812
365,0,IIRS,-0.3380915,-0.3592276
366,0,IIRS,0.8037609,0.07675013
367,0,IIRS,-0.07684749,0.15976655
368,0,IIRS,0.19608514,0.19932832
369,0,IIRS,0.35721183,0.5716971
370,0,IIRS,-0.5641289,0.1843025
371,0,IIRS,0.2342556,0.32806715
372,0,IIRS,-0.17607471,0.030374225
373,0,IIRS,0.47992015,-0.25362462
374,0,IIRS,-0.6129384,0.07883543
375,0,IIRS,-0.41648304,-0.43341473
376,0,IIRS,-0.5260224,0.16819768
377,0,IIRS,0.24290484,0.41630253
378,0,IIRS,-0.092094295,-0.54495645
379,0,IIRS,0.35600346,-0.30711287
380,0,IIRS,-0.27670106,-0.70890653
381,0,IIRS,-0.4191614,0.5771262
382,0,IIRS,0.5501223,-0.40726605
383,0,IIRS,-0.43877426,-0.6866001
384,0,IIRS,0.32426617,-0.34701142
385,0,IIRS,0.6844003,0.11378133
386,0,IIRS,0.5123397,0.06521365
387,0,IIRS,0.78921854,-0.11189209
388,0,IIRS,0.65513206,0.38417307
389,0,IIRS,0.0042543113,-0.74885345
390,0,IIRS,0.06744302,0.47297612
391,0,IIRS,-0.6037589,-0.2701306
392,0,IIRS,-0.26061812,-0.23318234
393,0,IIRS,-0.6008869,-0.11887334
394,0,IIRS,-0.29779372,-0.09222631
395,0,IIRS,-0.0845971,0.43268564
396,0,IIRS,-0.5240859,0.36023897
397,0,IIRS,-0.1696255,-0.50483584
398,0,IIRS,-0.2128907,-0.1185458
399,0,IIRS,0.6034923,0.3950969
340,1,IIRS,0.6273653,0.16207819
341,1,IIRS,-0.38694313,0.4277272
342,1,IIRS,0.13622001,-0.78541434
343,1,IIRS,0.17935546,0.7437763
344,1,IIRS,0.4280116,-0.3503296
345,1,IIRS,0.5765004,0.40814108
346,1,IIRS,-0.38014802,-0.68669456
347,1,IIRS,-0.1430545,0.15587446
