ohrc_index,source_scene_id,source_scene_root,acquisition_utc,tile_row,tile_col,native_r0,native_c0,native_size_px,encoder_size_px,ground_footprint_m,resolution_m_per_px,lat,lon,sun_azimuth,sun_elevation,solar_incidence,tdi_stages,bits_selection,orbit_limb_direction,spacecraft_yaw_direction,saturation_fraction,structural_jpeg,illumination_jpeg,embedding_norm
0,ch2_ohr_ncp_20260331T1105235288_d_img_d18,D:\ISRO\OHRC_raws\ch2_ohr_ncp_20260331T1105235288_d_img_d18,2026-03-31T11:05:23.5288Z,0,0,0,0,2048,256,512.0,0.25,8.1522256499,296.09565009,89.38302,1.895764,88.104236,TDI64,msb,Ascending,True,0.0,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c000_structural.jpg,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c000_illum.jpg,8.91945
1,ch2_ohr_ncp_20260331T1105235288_d_img_d18,D:\ISRO\OHRC_raws\ch2_ohr_ncp_20260331T1105235288_d_img_d18,2026-03-31T11:05:23.5288Z,0,1,0,1024,2048,256,512.0,0.25,8.152118594800001,296.10468276999995,89.38302,1.895764,88.104236,TDI64,msb,Ascending,True,0.0,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c001_structural.jpg,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c001_illum.jpg,7.7708015
2,ch2_ohr_ncp_20260331T1105235288_d_img_d18,D:\ISRO\OHRC_raws\ch2_ohr_ncp_20260331T1105235288_d_img_d18,2026-03-31T11:05:23.5288Z,0,2,0,2048,2048,256,512.0,0.25,8.1520108534,296.11372351,89.38302,1.895764,88.104236,TDI64,msb,Ascending,True,0.0,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c002_structural.jpg,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c002_illum.jpg,7.6084895
3,ch2_ohr_ncp_20260331T1105235288_d_img_d18,D:\ISRO\OHRC_raws\ch2_ohr_ncp_20260331T1105235288_d_img_d18,2026-03-31T11:05:23.5288Z,0,3,0,3072,2048,256,512.0,0.25,8.1519024235,296.1227714,89.38302,1.895764,88.104236,TDI64,msb,Ascending,True,0.0,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c003_structural.jpg,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c003_illum.jpg,7.7735515
4,ch2_ohr_ncp_20260331T1105235288_d_img_d18,D:\ISRO\OHRC_raws\ch2_ohr_ncp_20260331T1105235288_d_img_d18,2026-03-31T11:05:23.5288Z,0,4,0,4096,2048,256,512.0,0.25,8.1517932967,296.13182656000004,89.38302,1.895764,88.104236,TDI64,msb,Ascending,True,0.0,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c004_structural.jpg,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c004_illum.jpg,7.60399
5,ch2_ohr_ncp_20260331T1105235288_d_img_d18,D:\ISRO\OHRC_raws\ch2_ohr_ncp_20260331T1105235288_d_img_d18,2026-03-31T11:05:23.5288Z,0,5,0,5120,2048,256,512.0,0.25,8.1516834729,296.14088962,89.38302,1.895764,88.104236,TDI64,msb,Ascending,True,0.0,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c005_structural.jpg,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c005_illum.jpg,7.8720975
6,ch2_ohr_ncp_20260331T1105235288_d_img_d18,D:\ISRO\OHRC_raws\ch2_ohr_ncp_20260331T1105235288_d_img_d18,2026-03-31T11:05:23.5288Z,0,6,0,6144,2048,256,512.0,0.25,8.1515729491,296.14995993,89.38302,1.895764,88.104236,TDI64,msb,Ascending,True,0.0,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c006_structural.jpg,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c006_illum.jpg,8.091384
7,ch2_ohr_ncp_20260331T1105235288_d_img_d18,D:\ISRO\OHRC_raws\ch2_ohr_ncp_20260331T1105235288_d_img_d18,2026-03-31T11:05:23.5288Z,0,7,0,7168,2048,256,512.0,0.25,8.1514617346,296.1590375,89.38302,1.895764,88.104236,TDI64,msb,Ascending,True,0.0,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c007_structural.jpg,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c007_illum.jpg,7.7323513
8,ch2_ohr_ncp_20260331T1105235288_d_img_d18,D:\ISRO\OHRC_raws\ch2_ohr_ncp_20260331T1105235288_d_img_d18,2026-03-31T11:05:23.5288Z,0,8,0,8192,2048,256,512.0,0.25,8.151349816700002,296.16812237999994,89.38302,1.895764,88.104236,TDI64,msb,Ascending,True,0.0,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c008_structural.jpg,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c008_illum.jpg,8.027767
9,ch2_ohr_ncp_20260331T1105235288_d_img_d18,D:\ISRO\OHRC_raws\ch2_ohr_ncp_20260331T1105235288_d_img_d18,2026-03-31T11:05:23.5288Z,0,9,0,9216,2048,256,512.0,0.25,8.151237195199998,296.177215,89.38302,1.895764,88.104236,TDI64,msb,Ascending,True,0.0,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c009_structural.jpg,D:\ISRO\OHRC_tiles\ch2_ohr_ncp_20260331T1105235288_d_img_d18\ch2_ohr_ncp_20260331T1105235288_d_img_d18_r00000_c009_illum.jpg,7.455627
