filename,product_code,camera,observation_time_utc,archive_start_time_utc,product_size_bytes,altitude_km,product_type,end_time
ch2_tmc_nca_20191126T0920267219_d_img_d18.zip,NCA,AFT,2019-11-26 09:20:26.721900+00:00,2019-11-26 09:20:26.721000+00:00,1397712000,82.11,IMG,2019-11-26 09:29:52.972000+00:00
ch2_tmc_ncf_20191126T0920267219_d_img_d18.zip,NCF,FORE,2019-11-26 09:20:26.721900+00:00,2019-11-26 09:20:26.721000+00:00,1397704000,82.11,IMG,2019-11-26 09:29:52.939000+00:00
ch2_tmc_ncn_20191126T0920267251_d_img_d18.zip,NCN,NADIR,2019-11-26 09:20:26.725100+00:00,2019-11-26 09:20:26.725000+00:00,1397704000,82.11,IMG,2019-11-26 09:29:52.972000+00:00
ch2_tmc_nca_20191127T0458109171_d_img_d18.zip,NCA,AFT,2019-11-27 04:58:10.917100+00:00,2019-11-27 04:58:10.917000+00:00,1400232000,81.99,IMG,2019-11-27 05:07:37.311000+00:00
ch2_tmc_ncf_20191127T0458109171_d_img_d18.zip,NCF,FORE,2019-11-27 04:58:10.917100+00:00,2019-11-27 04:58:10.917000+00:00,1400240000,81.99,IMG,2019-11-27 05:07:37.314000+00:00
ch2_tmc_ncn_20191127T0458109204_d_img_d18.zip,NCN,NADIR,2019-11-27 04:58:10.920400+00:00,2019-11-27 04:58:10.920000+00:00,1400232000,81.99,IMG,2019-11-27 05:07:37.314000+00:00
ch2_tmc_nca_20191127T0853448154_d_img_d18.zip,NCA,AFT,2019-11-27 08:53:44.815400+00:00,2019-11-27 08:53:44.815000+00:00,1399928000,82.4,IMG,2019-11-27 09:03:11.867000+00:00
ch2_tmc_ncn_20191127T0853448154_d_img_d18.zip,NCN,NADIR,2019-11-27 08:53:44.815400+00:00,2019-11-27 08:53:44.815000+00:00,1399928000,82.4,IMG,2019-11-27 09:03:11.867000+00:00
ch2_tmc_ncf_20191127T0853448186_d_img_d18.zip,NCF,FORE,2019-11-27 08:53:44.818600+00:00,2019-11-27 08:53:44.818000+00:00,1399912000,82.4,IMG,2019-11-27 09:03:11.835000+00:00
ch2_tmc_nca_20191127T1051311882_d_img_d18.zip,NCA,AFT,2019-11-27 10:51:31.188200+00:00,2019-11-27 10:51:31.188000+00:00,1397384000,82.74,IMG,2019-11-27 11:00:56.430000+00:00
