filename,product_code,start_time,end_time,product_size_bytes,altitude_km,archive_page
ch2_tmc_ndn_20191125T0749024692_d_dtm_d18_5m.zip,NDN,2019-11-25 07:49:02.469000+00:00,2019-11-25 07:58:25.663000+00:00,1744661311,79.21,204
ch2_tmc_ndn_20191125T0749024692_d_oth_d18_5m.zip,NDN,2019-11-25 07:49:02.469000+00:00,2019-11-25 07:58:25.663000+00:00,1744985877,79.21,204
ch2_tmc_ndn_20191126T0327024959_d_dtm_d18_5m.zip,NDN,2019-11-26 03:27:02.495000+00:00,2019-11-26 03:36:26.838000+00:00,1552887855,82.07,204
ch2_tmc_ndn_20191126T0327024959_d_oth_d18_5m.zip,NDN,2019-11-26 03:27:02.495000+00:00,2019-11-26 03:36:26.838000+00:00,1553212501,82.07,204
ch2_tmc_ndn_20191126T0722394528_d_dtm_d18_5m.zip,NDN,2019-11-26 07:22:39.452000+00:00,2019-11-26 07:32:04.692000+00:00,1464807547,82.14,204
ch2_tmc_ndn_20191126T0722394528_d_oth_d18_5m.zip,NDN,2019-11-26 07:22:39.452000+00:00,2019-11-26 07:32:04.692000+00:00,1464807525,82.14,204
ch2_tmc_nca_20191126T0920267219_d_img_d18.zip,NCA,2019-11-26 09:20:26.721000+00:00,2019-11-26 09:29:52.972000+00:00,1397712000,82.11,217
ch2_tmc_ncf_20191126T0920267219_d_img_d18.zip,NCF,2019-11-26 09:20:26.721000+00:00,2019-11-26 09:29:52.939000+00:00,1397704000,82.11,231
ch2_tmc_nra_20191126T0920267219_d_img_d18.zip,NRA,2019-11-26 09:20:26.721000+00:00,2019-11-26 09:29:52.972000+00:00,1397712000,82.11,243
ch2_tmc_nrf_20191126T0920267219_d_img_d18.zip,NRF,2019-11-26 09:20:26.721000+00:00,2019-11-26 09:29:52.939000+00:00,1397704000,82.11,252
ch2_tmc_ncn_20191126T0920267251_d_img_d18.zip,NCN,2019-11-26 09:20:26.725000+00:00,2019-11-26 09:29:52.972000+00:00,1397704000,82.11,226
ch2_tmc_ndn_20191126T0920267251_d_dtm_d18.zip,NDN,2019-11-26 09:20:26.725000+00:00,2019-11-26 09:29:52.972000+00:00,356667715,82.11,209
ch2_tmc_ndn_20191126T0920267251_d_oth_d18.zip,NDN,2019-11-26 09:20:26.725000+00:00,2019-11-26 09:29:52.972000+00:00,1426016659,82.11,205
ch2_tmc_nrn_20191126T0920267251_d_img_d18.zip,NRN,2019-11-26 09:20:26.725000+00:00,2019-11-26 09:29:52.972000+00:00,1397704000,82.11,235
ch2_tmc_nca_20191127T0458109171_d_img_d18.zip,NCA,2019-11-27 04:58:10.917000+00:00,2019-11-27 05:07:37.311000+00:00,1400232000,81.99,224
ch2_tmc_ncf_20191127T0458109171_d_img_d18.zip,NCF,2019-11-27 04:58:10.917000+00:00,2019-11-27 05:07:37.314000+00:00,1400240000,81.99,230
ch2_tmc_nra_20191127T0458109171_d_img_d18.zip,NRA,2019-11-27 04:58:10.917000+00:00,2019-11-27 05:07:37.311000+00:00,1400232000,81.99,253
ch2_tmc_nrf_20191127T0458109171_d_img_d18.zip,NRF,2019-11-27 04:58:10.917000+00:00,2019-11-27 05:07:37.314000+00:00,1400240000,81.99,250
ch2_tmc_ncn_20191127T0458109204_d_img_d18.zip,NCN,2019-11-27 04:58:10.920000+00:00,2019-11-27 05:07:37.314000+00:00,1400232000,81.99,227
ch2_tmc_nrn_20191127T0458109204_d_img_d18.zip,NRN,2019-11-27 04:58:10.920000+00:00,2019-11-27 05:07:37.314000+00:00,1400232000,81.99,246
ch2_tmc_nca_20191127T0853448154_d_img_d18.zip,NCA,2019-11-27 08:53:44.815000+00:00,2019-11-27 09:03:11.867000+00:00,1399928000,82.4,222
ch2_tmc_ncn_20191127T0853448154_d_img_d18.zip,NCN,2019-11-27 08:53:44.815000+00:00,2019-11-27 09:03:11.867000+00:00,1399928000,82.4,214
ch2_tmc_ndn_20191127T0853448154_d_dtm_d18.zip,NDN,2019-11-27 08:53:44.815000+00:00,2019-11-27 09:03:11.867000+00:00,303371477,82.4,152
ch2_tmc_ndn_20191127T0853448154_d_oth_d18.zip,NDN,2019-11-27 08:53:44.815000+00:00,2019-11-27 09:03:11.867000+00:00,1214151765,82.4,152
ch2_tmc_nra_20191127T0853448154_d_img_d18.zip,NRA,2019-11-27 08:53:44.815000+00:00,2019-11-27 09:03:11.867000+00:00,1399928000,82.4,237
ch2_tmc_nrn_20191127T0853448154_d_img_d18.zip,NRN,2019-11-27 08:53:44.815000+00:00,2019-11-27 09:03:11.867000+00:00,1399928000,82.4,253
ch2_tmc_ncf_20191127T0853448186_d_img_d18.zip,NCF,2019-11-27 08:53:44.818000+00:00,2019-11-27 09:03:11.835000+00:00,1399912000,82.4,233
ch2_tmc_nrf_20191127T0853448186_d_img_d18.zip,NRF,2019-11-27 08:53:44.818000+00:00,2019-11-27 09:03:11.835000+00:00,1399912000,82.4,243
ch2_tmc_nca_20191127T1051311882_d_img_d18.zip,NCA,2019-11-27 10:51:31.188000+00:00,2019-11-27 11:00:56.430000+00:00,1397384000,82.74,214
ch2_tmc_ncf_20191127T1051311882_d_img_d18.zip,NCF,2019-11-27 10:51:31.188000+00:00,2019-11-27 11:00:56.433000+00:00,1397392000,82.74,228
ch2_tmc_nra_20191127T1051311882_d_img_d18.zip,NRA,2019-11-27 10:51:31.188000+00:00,2019-11-27 11:00:56.430000+00:00,1397384000,82.74,234
ch2_tmc_nrf_20191127T1051311882_d_img_d18.zip,NRF,2019-11-27 10:51:31.188000+00:00,2019-11-27 11:00:56.433000+00:00,1397392000,82.74,249
ch2_tmc_ncn_20191127T1051311914_d_img_d18.zip,NCN,2019-11-27 10:51:31.191000+00:00,2019-11-27 11:00:56.433000+00:00,1397384000,82.74,221
ch2_tmc_ndn_20191127T1051311914_d_dtm_d18.zip,NDN,2019-11-27 10:51:31.191000+00:00,2019-11-27 11:00:56.433000+00:00,284777979,82.74,206
ch2_tmc_ndn_20191127T1051311914_d_oth_d18.zip,NDN,2019-11-27 10:51:31.191000+00:00,2019-11-27 11:00:56.433000+00:00,1139109461,82.74,209
ch2_tmc_nrn_20191127T1051311914_d_img_d18.zip,NRN,2019-11-27 10:51:31.191000+00:00,2019-11-27 11:00:56.433000+00:00,1397384000,82.74,242
ch2_tmc_nca_20191128T0431218361_d_img_d18.zip,NCA,2019-11-28 04:31:21.836000+00:00,2019-11-28 04:40:50.282000+00:00,1405304000,86.86,218
