filename,product_code,camera,observation_time_utc,archive_start_time_utc,product_size_bytes,altitude_km,product_type,end_time,target,time_difference_hours
ch2_tmc_ncf_20260226T0125464148_d_img_d18.zip,NCF,FORE,2026-02-26 01:25:46.414800+00:00,2026-02-26 01:25:46.414000+00:00,306648000,92.2,IMG,2026-02-26 01:27:50.451000+00:00,IIRS,35.23552105555555
ch2_tmc_nca_20260226T0125464180_d_img_d18.zip,NCA,AFT,2026-02-26 01:25:46.418000+00:00,2026-02-26 01:25:46.418000+00:00,306640000,92.2,IMG,2026-02-26 01:27:50.451000+00:00,IIRS,35.23552105555555
ch2_tmc_ncn_20260226T0125464180_d_img_d18.zip,NCN,NADIR,2026-02-26 01:25:46.418000+00:00,2026-02-26 01:25:46.418000+00:00,306648000,92.2,IMG,2026-02-26 01:27:50.454000+00:00,IIRS,35.23552105555555
ch2_tmc_ncf_20260227T1239552923_d_img_d18.zip,NCF,FORE,2026-02-27 12:39:55.292300+00:00,2026-02-27 12:39:55.292000+00:00,1598664000,91.35,IMG,2026-02-27 12:50:41.689000+00:00,IIRS,0.0003122777777777778
ch2_tmc_ncn_20260227T1239552923_d_img_d18.zip,NCN,NADIR,2026-02-27 12:39:55.292300+00:00,2026-02-27 12:39:55.292000+00:00,1598648000,91.35,IMG,2026-02-27 12:50:41.683000+00:00,IIRS,0.0003122777777777778
ch2_tmc_nca_20260227T1239553248_d_img_d18.zip,NCA,AFT,2026-02-27 12:39:55.324800+00:00,2026-02-27 12:39:55.324000+00:00,1598632000,91.35,IMG,2026-02-27 12:50:41.680000+00:00,IIRS,0.0003122777777777778
ch2_tmc_nca_20260227T1635363529_d_img_d18.zip,NCA,AFT,2026-02-27 16:35:36.352900+00:00,2026-02-27 16:35:36.352000+00:00,1753688000,91.71,IMG,2026-02-27 16:47:25.720000+00:00,IIRS,3.928367833333333
ch2_tmc_ncf_20260227T1635363529_d_img_d18.zip,NCF,FORE,2026-02-27 16:35:36.352900+00:00,2026-02-27 16:35:36.352000+00:00,1753688000,91.71,IMG,2026-02-27 16:47:25.720000+00:00,IIRS,3.928367833333333
ch2_tmc_ncn_20260227T1635363529_d_img_d18.zip,NCN,NADIR,2026-02-27 16:35:36.352900+00:00,2026-02-27 16:35:36.352000+00:00,1753696000,91.71,IMG,2026-02-27 16:47:25.724000+00:00,IIRS,3.928367833333333
ch2_tmc_ncn_20260228T1421324581_d_img_d18.zip,NCN,NADIR,2026-02-28 14:21:32.458100+00:00,2026-02-28 14:21:32.458000+00:00,1635848000,94.1,IMG,2026-02-28 14:32:34.156000+00:00,IIRS,25.69392338888889
ch2_tmc_ncf_20260228T1421324581_d_img_d18.zip,NCF,FORE,2026-02-28 14:21:32.458100+00:00,2026-02-28 14:21:32.458000+00:00,1635848000,94.1,IMG,2026-02-28 14:32:34.159000+00:00,IIRS,25.69392338888889
ch2_tmc_nca_20260228T1421324581_d_img_d18.zip,NCA,AFT,2026-02-28 14:21:32.458100+00:00,2026-02-28 14:21:32.458000+00:00,1635840000,94.1,IMG,2026-02-28 14:32:34.159000+00:00,IIRS,25.69392338888889
ch2_tmc_nca_20260228T1807311508_d_img_d18.zip,NCA,AFT,2026-02-28 18:07:31.150800+00:00,2026-02-28 18:07:31.150000+00:00,1749816000,90.64,IMG,2026-02-28 18:19:18.952000+00:00,OHRC,736.9645913333334
ch2_tmc_ncf_20260228T1807311508_d_img_d18.zip,NCF,FORE,2026-02-28 18:07:31.150800+00:00,2026-02-28 18:07:31.150000+00:00,1749808000,90.64,IMG,2026-02-28 18:19:18.949000+00:00,OHRC,736.9645913333334
ch2_tmc_ncn_20260228T1807311508_d_img_d18.zip,NCN,NADIR,2026-02-28 18:07:31.150800+00:00,2026-02-28 18:07:31.150000+00:00,1749816000,90.64,IMG,2026-02-28 18:19:18.952000+00:00,OHRC,736.9645913333334
ch2_tmc_ncf_20260301T1543392924_d_img_d18.zip,NCF,FORE,2026-03-01 15:43:39.292400+00:00,2026-03-01 15:43:39.292000+00:00,1631016000,90.55,IMG,2026-03-01 15:54:39.392000+00:00,OHRC,715.3623691111111
ch2_tmc_ncn_20260301T1543392924_d_img_d18.zip,NCN,NADIR,2026-03-01 15:43:39.292400+00:00,2026-03-01 15:43:39.292000+00:00,1631016000,90.55,IMG,2026-03-01 15:54:39.392000+00:00,OHRC,715.3623691111111
ch2_tmc_nca_20260301T1543392957_d_img_d18.zip,NCA,AFT,2026-03-01 15:43:39.295700+00:00,2026-03-01 15:43:39.295000+00:00,1631008000,90.55,IMG,2026-03-01 15:54:39.392000+00:00,OHRC,715.3623691111111
ch2_tmc_nca_20260301T1939183081_d_img_d18.zip,NCA,AFT,2026-03-01 19:39:18.308100+00:00,2026-03-01 19:39:18.308000+00:00,1754352000,90.71,IMG,2026-03-01 19:51:07.944000+00:00,OHRC,711.4348691111111
ch2_tmc_ncf_20260301T1939183081_d_img_d18.zip,NCF,FORE,2026-03-01 19:39:18.308100+00:00,2026-03-01 19:39:18.308000+00:00,1754352000,90.71,IMG,2026-03-01 19:51:07.944000+00:00,OHRC,711.4348691111111
ch2_tmc_ncn_20260301T1939183114_d_img_d18.zip,NCN,NADIR,2026-03-01 19:39:18.311400+00:00,2026-03-01 19:39:18.311000+00:00,1754344000,90.71,IMG,2026-03-01 19:51:07.944000+00:00,OHRC,711.4348691111111
ch2_tmc_ncf_20260302T0340193086_d_img_d18.zip,NCF,FORE,2026-03-02 03:40:19.308600+00:00,2026-03-02 03:40:19.308000+00:00,1619728000,93.24,IMG,2026-03-02 03:51:14.489000+00:00,OHRC,703.4179246666666
ch2_tmc_ncn_20260302T0340193086_d_img_d18.zip,NCN,NADIR,2026-03-02 03:40:19.308600+00:00,2026-03-02 03:40:19.308000+00:00,1619728000,93.24,IMG,2026-03-02 03:51:14.489000+00:00,OHRC,703.4179246666666
ch2_tmc_nca_20260302T0340193086_d_img_d18.zip,NCA,AFT,2026-03-02 03:40:19.308600+00:00,2026-03-02 03:40:19.308000+00:00,1619728000,93.24,IMG,2026-03-02 03:51:14.489000+00:00,OHRC,703.4179246666666
ch2_tmc_ncn_20260304T2222303704_d_img_d18.zip,NCN,NADIR,2026-03-04 22:22:30.370400+00:00,2026-03-04 22:22:30.370000+00:00,1347480000,91.33,IMG,2026-03-04 22:31:35.426000+00:00,OHRC,636.714869111111
ch2_tmc_nca_20260304T2222303737_d_img_d18.zip,NCA,AFT,2026-03-04 22:22:30.373700+00:00,2026-03-04 22:22:30.373000+00:00,1347464000,91.33,IMG,2026-03-04 22:31:35.423000+00:00,OHRC,636.714869111111
ch2_tmc_ncf_20260304T2222303737_d_img_d18.zip,NCF,FORE,2026-03-04 22:22:30.373700+00:00,2026-03-04 22:22:30.373000+00:00,1347472000,91.33,IMG,2026-03-04 22:31:35.426000+00:00,OHRC,636.714869111111
ch2_tmc_ncf_20260305T1558103459_d_img_d18.zip,NCF,FORE,2026-03-05 15:58:10.345900+00:00,2026-03-05 15:58:10.345000+00:00,1838648000,86.18,IMG,2026-03-05 16:10:34.740000+00:00,OHRC,619.1204246666666
ch2_tmc_ncn_20260305T1558103459_d_img_d18.zip,NCN,NADIR,2026-03-05 15:58:10.345900+00:00,2026-03-05 15:58:10.345000+00:00,1838640000,86.18,IMG,2026-03-05 16:10:34.805000+00:00,OHRC,619.1204246666666
ch2_tmc_nca_20260305T1558103459_d_img_d18.zip,NCA,AFT,2026-03-05 15:58:10.345900+00:00,2026-03-05 15:58:10.345000+00:00,1838632000,86.18,IMG,2026-03-05 16:10:34.773000+00:00,OHRC,619.1204246666666
