observation_time_utc,archive_start_time_utc,archive_end_time_utc,camera_count,cameras,product_codes,has_nadir,has_aft,has_fore,complete_three_camera,product_count,filenames,target_sensor,target_time_utc,time_difference_hours
2026-03-05 15:58:10+00:00,2026-03-05 15:58:10.345000+00:00,2026-03-05 16:10:34.805000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260305T1558103459_d_img_d18.zip | ch2_tmc_ncf_20260305T1558103459_d_img_d18.zip | ch2_tmc_ncn_20260305T1558103459_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,619.1204246666666
2026-03-04 22:22:30+00:00,2026-03-04 22:22:30.370000+00:00,2026-03-04 22:31:35.426000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260304T2222303737_d_img_d18.zip | ch2_tmc_ncf_20260304T2222303737_d_img_d18.zip | ch2_tmc_ncn_20260304T2222303704_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,636.714869111111
2026-03-04 22:19:01+00:00,2026-03-04 22:19:00.919000+00:00,2026-03-04 22:22:36.558000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260304T2219009193_d_img_d18.zip | ch2_tmc_ncf_20260304T2219009193_d_img_d18.zip | ch2_tmc_ncn_20260304T2219009193_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,636.7729246666667
2026-03-04 18:21:40+00:00,2026-03-04 18:21:39.636000+00:00,2026-03-04 18:34:48.870000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260304T1821396398_d_img_d18.zip | ch2_tmc_ncf_20260304T1821396366_d_img_d18.zip | ch2_tmc_ncn_20260304T1821396366_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,640.728758
2026-03-04 08:32:20+00:00,2026-03-04 08:32:19.994000+00:00,2026-03-04 08:45:12.720000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260304T0832199977_d_img_d18.zip | ch2_tmc_ncf_20260304T0832199944_d_img_d18.zip | ch2_tmc_ncn_20260304T0832199944_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,650.5509802222222
2026-03-02 03:40:19+00:00,2026-03-02 03:40:19.308000+00:00,2026-03-02 03:51:14.489000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260302T0340193086_d_img_d18.zip | ch2_tmc_ncf_20260302T0340193086_d_img_d18.zip | ch2_tmc_ncn_20260302T0340193086_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,703.4179246666666
2026-03-01 19:39:18+00:00,2026-03-01 19:39:18.308000+00:00,2026-03-01 19:51:07.944000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260301T1939183081_d_img_d18.zip | ch2_tmc_ncf_20260301T1939183081_d_img_d18.zip | ch2_tmc_ncn_20260301T1939183114_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,711.4348691111111
2026-03-01 15:43:39+00:00,2026-03-01 15:43:39.292000+00:00,2026-03-01 15:54:39.392000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260301T1543392957_d_img_d18.zip | ch2_tmc_ncf_20260301T1543392924_d_img_d18.zip | ch2_tmc_ncn_20260301T1543392924_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,715.3623691111111
2026-03-01 05:54:30+00:00,2026-03-01 05:54:29.991000+00:00,2026-03-01 06:05:24.968000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260301T0554299915_d_img_d18.zip | ch2_tmc_ncf_20260301T0554299915_d_img_d18.zip | ch2_tmc_ncn_20260301T0554299915_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,725.1815357777778
2026-02-28 18:07:31+00:00,2026-02-28 18:07:31.150000+00:00,2026-02-28 18:19:18.952000+00:00,3,"AFT,FORE,NADIR","NCA,NCF,NCN",True,True,True,True,3,ch2_tmc_nca_20260228T1807311508_d_img_d18.zip | ch2_tmc_ncf_20260228T1807311508_d_img_d18.zip | ch2_tmc_ncn_20260228T1807311508_d_img_d18.zip,OHRC,2026-03-31 11:05:23.528800+00:00,736.9645913333334
